Index Abduction,Flexion 1 Index,Flexion 2 Index,Flexion 3 Index,Middle Abduction,Flexion 1 Middle,Flexion 2 Middle,Flexion 3 Middle,Ring Abduction,Flexion 1 Ring,Flexion 2 Ring,Flexion 3 Ring,Flexion 1 Thumb,Flexion 2 Thumb,Flexion 3 Thumb,Thumb Abduction
-0.3182978451000086,0.25084253896235964,0.09177517580266607,0.05338408240414888,-0.17728714991958477,0.14065430674695234,0.08033583986414786,0.0598465909671312,-0.18300539028122814,0.07061181162388941,0.0669625182603469,0.021171046457477957,4.727729,3.1600003,3.9607384,4.568195
-0.33787961495605556,0.2790713984774924,0.10093060433766282,0.05992089540534201,-0.1684854921774404,0.13536807414913365,0.08462171140931325,0.05711084660279342,-0.18871821303019393,0.06990769562875077,0.06611978128953917,0.02094687481709807,4.727729,3.1600003,3.9607384,4.568195
-0.36213441230453614,0.3041528500071964,0.10273251210270679,0.04789490777192439,-0.1778497147601133,0.14477916267479474,0.08553196367589838,0.04210020719719931,-0.18761555579996153,0.08849517708559773,0.07498766024037948,0.02211516908094665,4.727729,3.1600003,3.9607384,4.568195
-0.3186752347560372,0.2849798409586799,0.1627841930671083,0.06071392259581549,-0.13236266194885432,0.10321965085557228,0.08347148617294275,0.029850932828766667,-0.19643679643724427,0.09830949388518295,0.07746762834113,0.05066050567812867,4.727729,3.1600003,3.9607384,4.568195
-0.24226331182006222,0.27152539590151914,0.5295528355474314,0.5242936998009864,-0.09712152135996527,0.08008715595244054,0.08083316155211726,0.0316042978054396,-0.1996596749703457,0.09331259987338258,0.04154615847936744,0.05125074663138095,4.727729,3.1600003,3.9607384,4.568195
-0.24610428204535195,0.27791098084028665,0.5694123189406635,0.6152490257391907,-0.07797430672008937,0.07637404754806942,0.0927670781302244,0.031402813460472113,-0.1879290664906959,0.09351315112100433,0.0471804468210502,0.050619470902428854,4.727729,3.1600003,3.9607384,4.568195
-0.24577985580900263,0.29632812167054956,0.5040873811749684,0.593710312673783,-0.08115249721106715,0.10260936335941517,0.1499051701913591,0.07320059500032679,-0.16413300991069307,0.1271802902275594,0.06405971110001356,0.09140968008676854,4.727729,3.1600003,3.9607384,4.568195
-0.2308895952722697,0.2730178487079562,0.5103378618686626,0.49145018226598863,-0.0679198533093624,0.09735384643925649,0.21792161688045622,0.09003062075207029,-0.1679403943023388,0.13272698564304397,0.0911203523936399,0.09439922229587827,4.727729,3.1600003,3.9607384,4.568195
-0.22749384883275392,0.28249503303538814,0.48650748383094045,0.6151310838631445,-0.07138031943485929,0.1083176906937049,0.22463790459195562,0.09692658414104136,-0.1763046267614719,0.13700735666093022,0.0993440496463369,0.10081797166260947,4.727729,3.1600003,3.9607384,4.568195
-0.24006812482788542,0.2793355352559179,0.43587150198220614,0.9581220256361457,-0.12452270220427658,0.20455761499786806,0.7000853106469063,1.1974916027113256,-0.19392961790817048,0.1580106498278364,0.13296866939282248,0.1720219513218354,4.727729,3.1600003,3.9607384,4.568195
